id,ushio,kageyama,katou,saitou,sasaki_kumi,sasaki_mirei,takase,takamoto,higashimura,kanemura,kawata,kosaka,tomita,nibu,hamagishi,matuda,miyata,watanabe,kamimura,takahashi,morimoto,yamaguchi
1,,,,,,,,,1,2,,2,,,,,,,,,,
2,,,2,,2,,,,1,,,,,,,,,,,,,
3,1,2,,,,,,,,,,,,2,,,,,,,,
4,1,,,2,,,,2,2,,,,,,,,,,,,,
5,,,,,,,,1,,,2,,,,,,,,,,,
6,,,,,,2,,1,,,,,,,,,,,,,,
7,,,2,,,,,,,,,,,,,,,1,,,,
8,,,,,,,,,,1,,2,,2,,2,2,,,,,
9,2,,,,,,2,2,2,2,2,2,2,2,,1,,2,2,,,
10,2,,,,,1,2,,,,,,,,,,,,,,,
11,,,,,1,,,,,,,,2,,,,,,,,,
12,,,,,,,,,2,,,,,,,,,,1,,,
13,,,,,,,,1,,,,,,,,,,,2,,,
14,,,1,,,2,,,,,,,,,,,,,,,,
15,,,,,,,1,,,,2,,,,2,,,,,,,
16,,,,,,,,,,,,,,,,1,,,,,2,
17,,,,,,,,,,,,,,,1,,2,,,,,
18,,,,,,,,,,,,,,,,1,,,,2,,
19,,,,,,,,,,,,2,1,,,,,,,,,
20,,,,2,1,,,,,,,,,,,,,,,,,
21,,,,,,,,,,2,,,,,,1,,,2,,,
22,,,,,,,,,,,,,,1,2,,,,,,,
23,,,,,2,1,,,,,,2,,,,,,,,,,
24,,,,,,,,,,,,,2,,,1,,2,,,,
25,,,,,,,,,,,2,,,,,,,,,1,,
26,,,,,,,,,,2,,,1,,,,,2,,,,
27,,,2,,,,,,,,,,1,,,,,,,,,
28,,,,2,,,,,1,,,,,,,,,,,,,
29,,,,1,2,2,2,2,2,,,,,,,,,,,,,
30,,,,,,1,,,,,2,,,,,,,,,,,
31,,1,,,,,,,,,,,,,,,,,,,2,
32,,,2,,,,,,,1,,,,,,,,,,,,
33,2,,,,,,,,,,,,1,,,,,,,,,
34,,,,2,1,,,,,,,,,,,,,,,,,
